Order in Assessment,Changes on items,Changes on dimensions,CODE (prefixed with Q),Reverse score,TriggerQ,English: item/question,English: dimension/subscale,English: domain,Nynorsk: item/question,Nynorsk: dimension/subscale,Nynorsk: domain,Bokmål: item/question,Bokmål: dimension/subscale,Bokmål: domain,,,,,,,,,,,
1,K,K,100,,T,I feel sad/down most of the time,Sad Affect,Symptom Expression,Eg føler meg nedfor mesteparten av tida,Nedfor,Symptomuttrykk,Jeg føler meg nedfor mesteparten av tiden,Nedfor,Symptomuttrykk,,,,,,,,,,,
2,K,KRN,51,,T,I have a sense of restlessness and unease in me most of the time,Physical Anxiety,Symptom Expression,Eg kjenner uro eller ubehag inni meg mykje av tida,Angst,Symptomuttrykk,Jeg kjenner uro eller ubehag inni meg mye av tiden,Angst,Symptomuttrykk,,,,,,,,,,,
3,K,KR,63,,T,It is very important to control what and how much I eat,Restrictive Eating,Symptom Expression,Det er svært viktig for meg å kontrollere kva og kor mykje eg et,Spisevanskar,Symptomuttrykk,Det er svært viktig for meg å kontrollere hva og hvor mye jeg spiser,Spisevansker,Symptomuttrykk,,,,,,,,,,,
4,K,K,19,,T,I think it would be better if I were dead,Suicidal thoughts,Symptom Expression,Eg tenkjer at det ville vore betre om eg var død,Sjølvmordstanker,Symptomuttrykk,Jeg tenker at det ville vært bedre om jeg var død,Selvmordstanker,Symptomuttrykk,,,,,,,,,,,
5,R,K,59.1,,T,I think that I need to cut down on my drinking or drug use,Substance Use,Symptom Expression,Eg tenkjer eg bør kutte ned på bruken av alkohol eller narkotika,Rusvanskar,Symptomuttrykk,Jeg tenker at jeg bør kutte ned på bruken av alkohol eller narkotika,Rusvansker,Symptomuttrykk,,,,,,,,,,,
6,K,KR,111,,T,I get overwhelmed by terrifying memories,Intrusive Memories,Symptom Expression,Eg blir overvelda av skremmande minner,Påtrengende minner ,Symptomuttrykk,Jeg blir overveldet av skremmende minner,Påtrengende minner,Symptomuttrykk,,,,,,,,,,,
7,N,N,201,,T,I have felt so angry it was hard for me to control,Anger,Symptom Expression,Eg har følt meg så sint at det har vore vanskeleg å kontrollere,Sinne,Symptomuttrykk,Jeg har følt meg så sint at det har vært vanskelig å kontrollere,Sinne,Symptomuttrykk,,,,,,,,,,,
8,K,K,115,,T,"No matter how hard I try, things do not get better",Hopelessness,Problem maintaining process,"Uansett kva eg gjer, så blir det ikkje betre",Håpløyse,Oppretthaldande faktorar,"Uansett hva jeg gjør, så blir det ikke bedre",Håpløshet,Opprettholdende faktorer,,,,,,,,,,,
9,K,KR,117,,T,My constant worrying makes me worn out,Worry,Problem maintaining process,"Eg grublar konstant, og det gjer meg utslitt",Bekymring,Oppretthaldande faktorar,"Jeg grubler konstant, og det gjør meg utslitt",Bekymring,Opprettholdende faktorer,,,,,,,,,,,
10,N,N,202,R,T,I am good at comforting myself,Self-Compassion,Resources,Eg er god til å trøyste meg sjølv,Sjølvmedfølelse,Ressursar,Jeg er god til å trøste meg selv,Selvmedfølelse,Ressurser,,,,,,,,,,,
11,K,K,64,,T,I feel so uncomfortable together with other people that I often prefer to just stay alone,Social Avoidance,Problem maintaining process,Eg kjenner meg så ukomfortabel saman med andre at eg ofte held meg for meg sjølv,Sosial unnviking,Oppretthaldande faktorar,Jeg kjenner meg så ukomfortabel sammen med andre at jeg ofte holder meg for meg selv,Sosial unnvikelse,Opprettholdende faktorer,,,,,,,,,,,
12,K,K,34,,T,I try very hard not to feel certain emotions,Internal Avoidance,Problem maintaining process,Eg prøvar hardt å unngå å kjenne eller vise enkelte følelsar,Indre unnviking,Oppretthaldande faktorar,Jeg prøver hardt å unngå å kjenne eller vise enkelte følelser,Indre unnvikelse,Opprettholdende faktorer,,,,,,,,,,,
13,K,N,128,,T,I feel disgusted by myself,Self-Contempt,Problem maintaining process,Eg kjenner avsky ovanfor meg sjølv,Sjølvforakt,Oppretthaldande faktorar,Jeg kjenner avsky ovenfor meg selv,Selvforakt,Opprettholdende faktorer,,,,,,,,,,,
14,N,N,203,,T,Pain in my body is a very significant problem for me,Pain,symptom Expression,Smerter i kroppen er eit betydeleg problem for meg,Smerte,symptomuttrykk,Smerter i kroppen er et betydelig problem for meg,Smerte,Symptomuttrykk,,,,,,,,,,,
15,N,KR,204,R,T,I have family/friends in my life who are available to support me when needed,Social Support,Resources,Eg har venner/familie som er tilgjengelege for å støtte meg når eg treng det,Sosial støtte,Ressursar,Jeg har venner/familie som er tilgjengelige for å støtte meg når jeg trenger det,Sosial støtte,Ressurser,,,,,,,,,,,
16,R,KRN,140.1,R,T,I function well in the areas that are most important to me,General Functioning,Personal consequences,Eg fungerer godt i dei rollene som er viktigast for meg,Fungering,Konsekvensar for livssituasjonen,Jeg fungerer godt i de rollene som er viktigst for meg ,Fungering,Konsekvenser for livssituasjonen,,,,,,,,,,,
17,K,K,145,,T,I forget so much that it affects my daily life,Cognitive Problems,Personal consequences,Eg gløymer så mykje at det påverkar kvardagen min,Kognisjon,Konsekvensar for livssituasjonen,Jeg glemmer så mye at det påvirker hverdagen min,Kognisjon,Konsekvenser for livssituasjonen,,,,,,,,,,,
18,N,N,205,,T,I have to work very hard to resist urges that are problematic for me,Impulsivity,Problem maintaining process,Eg må jobbe veldig hardt for å stå imot freistingar som er problematiske for meg,Impulsivitet,Oppretthaldande faktorar,Jeg må jobbe veldig hardt for å motstå fristelser som er problematiske for meg,Impulsivitet,Opprettholdende faktorer,,,,,,,,,,,
19,N,KNR,233,R,T,I know what I want to work on in my treatment,Readiness for Change,Resources,Eg veit kva problem eller endring eg vil jobbe med i behandlinga,Endringsressursar,Ressursar,Jeg vet hvilke problem eller endring jeg vil jobbe med i behandlingen,Endringsressurser,Ressurser,,,,,,,,,,,
